,loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies
3142,14000.0, 36 months,5.32,421.61,A,10+ years,MORTGAGE,100000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,21.38,2.0,Jun-1996,690.0,694.0,0.0,10.0,1.0,11761.0,44.9,31.0,Individual,2.0,1.0
3928,28000.0, 36 months,10.78,913.77,B,8 years,RENT,111000.0,Source Verified,Dec-2015,Fully Paid,credit_card,18.31,2.0,Apr-1990,660.0,664.0,0.0,5.0,0.0,57482.0,82.9,14.0,Individual,3.0,0.0
615,2500.0, 36 months,11.99,83.03,C,< 1 year,MORTGAGE,50400.0,Source Verified,Dec-2015,Fully Paid,home_improvement,12.48,0.0,Oct-2004,665.0,669.0,0.0,5.0,1.0,35.0,1.1,12.0,Individual,2.0,0.0
9306,8975.0, 36 months,18.49,326.68,E,1 year,MORTGAGE,62000.0,Verified,Dec-2015,Charged Off,debt_consolidation,33.22,0.0,Jun-1999,690.0,694.0,1.0,11.0,0.0,24027.0,70.0,18.0,Individual,3.0,0.0
1803,9000.0, 36 months,11.48,296.7,B,< 1 year,RENT,115000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,9.47,0.0,Nov-2002,730.0,734.0,2.0,12.0,0.0,942.0,2.8,28.0,Individual,2.0,0.0
4510,3000.0, 36 months,12.88,100.91,C,10+ years,RENT,45000.0,Source Verified,Dec-2015,Fully Paid,other,9.47,0.0,May-2007,700.0,704.0,0.0,7.0,0.0,5652.0,53.3,8.0,Individual,0.0,0.0
787,22925.0, 60 months,16.59,564.71,D,< 1 year,RENT,51000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,31.04,0.0,Nov-1994,720.0,724.0,0.0,16.0,0.0,21147.0,65.3,23.0,Individual,0.0,0.0
3828,20000.0, 60 months,13.44,459.58,C,,MORTGAGE,58000.0,Not Verified,Dec-2015,Charged Off,debt_consolidation,22.55,0.0,Aug-1998,720.0,724.0,1.0,19.0,0.0,13385.0,25.4,46.0,Individual,5.0,0.0
8718,7800.0, 36 months,6.24,238.15,A,4 years,RENT,41000.0,Source Verified,Dec-2015,Charged Off,credit_card,26.14,1.0,Sep-1999,700.0,704.0,0.0,13.0,0.0,14666.0,54.7,23.0,Individual,0.0,0.0
5886,6000.0, 36 months,6.49,183.87,A,7 years,MORTGAGE,72000.0,Source Verified,Dec-2015,Fully Paid,car,25.08,1.0,Jul-2000,750.0,754.0,0.0,8.0,0.0,12870.0,0.0,22.0,Individual,5.0,0.0
8054,8025.0, 36 months,16.99,286.08,D,,RENT,20102.0,Verified,Dec-2015,Fully Paid,debt_consolidation,32.36,0.0,Sep-2002,695.0,699.0,1.0,10.0,0.0,14762.0,41.6,20.0,Individual,0.0,0.0
831,11200.0, 36 months,11.99,371.95,C,< 1 year,RENT,37000.0,Verified,Dec-2015,Charged Off,debt_consolidation,7.78,0.0,Oct-1994,675.0,679.0,0.0,11.0,0.0,16425.0,49.3,13.0,Individual,0.0,0.0
1854,5000.0, 36 months,10.78,163.18,B,4 years,OWN,34600.0,Verified,Dec-2015,Fully Paid,home_improvement,28.62,1.0,Jan-1977,665.0,669.0,0.0,3.0,0.0,25639.0,84.1,14.0,Individual,0.0,0.0
1428,9000.0, 36 months,13.99,307.56,C,2 years,RENT,28000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,24.52,0.0,Mar-2012,660.0,664.0,1.0,8.0,0.0,5749.0,57.5,9.0,Individual,0.0,0.0
3661,20000.0, 36 months,5.32,602.3,A,10+ years,MORTGAGE,165000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,15.74,0.0,Oct-1990,770.0,774.0,0.0,12.0,0.0,14119.0,27.0,22.0,Individual,3.0,0.0
1622,15000.0, 36 months,10.78,489.52,B,,OWN,65000.0,Not Verified,Dec-2015,Fully Paid,medical,22.58,0.0,Feb-2000,695.0,699.0,0.0,18.0,0.0,16859.0,44.0,29.0,Individual,3.0,0.0
4955,35000.0, 36 months,17.27,1252.56,D,,MORTGAGE,85000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,35.08,1.0,Jul-1999,700.0,704.0,2.0,16.0,0.0,33808.0,60.4,40.0,Individual,6.0,0.0
9370,22925.0, 60 months,18.2,584.65,E,6 years,RENT,65000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,31.89,0.0,Aug-2001,720.0,724.0,0.0,10.0,0.0,16327.0,71.3,16.0,Individual,0.0,0.0
7072,12375.0, 36 months,18.2,448.63,E,2 years,MORTGAGE,57000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,27.22,0.0,May-1995,675.0,679.0,2.0,19.0,0.0,26983.0,73.7,39.0,Individual,2.0,0.0
6488,18000.0, 60 months,14.85,426.81,C,5 years,MORTGAGE,70000.0,Not Verified,Dec-2015,Fully Paid,home_improvement,10.85,0.0,Jul-1998,680.0,684.0,2.0,9.0,1.0,6810.0,36.6,22.0,Individual,3.0,1.0
9014,20250.0, 60 months,17.86,512.68,D,4 years,RENT,103000.0,Not Verified,Dec-2015,Fully Paid,credit_card,10.82,0.0,Nov-1999,750.0,754.0,2.0,10.0,0.0,2503.0,9.1,36.0,Individual,0.0,0.0
2893,15000.0, 60 months,13.99,348.95,C,10+ years,OWN,70000.0,Source Verified,Dec-2015,Fully Paid,credit_card,4.32,0.0,Apr-2003,700.0,704.0,1.0,6.0,0.0,9813.0,69.6,17.0,Individual,6.0,0.0
9203,22500.0, 36 months,13.67,765.4,C,10+ years,RENT,51142.0,Verified,Dec-2015,Fully Paid,debt_consolidation,25.95,0.0,Aug-1993,675.0,679.0,2.0,15.0,3.0,5300.0,14.4,47.0,Individual,1.0,0.0
357,20000.0, 60 months,14.85,474.23,C,5 years,OWN,75000.0,Not Verified,Dec-2015,Fully Paid,debt_consolidation,18.76,0.0,Apr-1992,705.0,709.0,0.0,16.0,0.0,59351.0,89.0,36.0,Individual,5.0,0.0
2553,2000.0, 36 months,13.44,67.82,C,< 1 year,OWN,42536.0,Verified,Dec-2015,Fully Paid,medical,29.35,2.0,Feb-1997,665.0,669.0,0.0,7.0,0.0,2414.0,52.5,18.0,Individual,0.0,0.0
9561,14400.0, 36 months,10.64,468.99,B,10+ years,RENT,70000.0,Not Verified,Dec-2015,Fully Paid,credit_card,16.89,0.0,Jun-2004,680.0,684.0,0.0,9.0,0.0,15751.0,59.7,14.0,Individual,0.0,0.0
6681,8000.0, 36 months,16.59,283.6,D,3 years,RENT,27000.0,Source Verified,Dec-2015,Charged Off,debt_consolidation,15.96,0.0,Oct-2009,660.0,664.0,1.0,5.0,0.0,12918.0,95.0,5.0,Individual,0.0,0.0
